Net plot grain weight (g),,,WEIGHT OF GRAIN YIELD PER HILL OF 20 PLANTS (G),,,,,,,,,,,,,,,,,,,,,,POD LENGTH AT 65 DAYS AFTER PLANTING (CM),,,,,,,,,,,,,,,,,,,,,,NUMBER OF POD PER PLANT AT 60 DAYS AFTER PLANTING,,,,,,,,,,,,,,,,,,,,,,POD LOAD SCORING,
Treatments,Reps,,TREATMENTS,REPS,,,,,,,,,,,,,,,,,,,,,TRTS,BLOCK/REPS,,,,,,,,,,,,,,,,,,,,,TRTS,REPS/BLOCK,,,,,,,,,,,,,,,,,,,,,TRTS,BLK/REPS
A,3,0,3,1,1,0,1,0,0,3,1,1,0,0,1,1,0,0,0,1,,A,1,3,1,3,1,1,1,1,1,3,1,1,1,1,1,1,3,3,1,1,,A,3,3,3,5,3,3,1,3,3,3,3,1,5,3,3,5,3,3,3,3,,,,,,
A,1,3,3,3,5,5,1,1,3,3,3,3,1,3,3,1,3,5,1,3,,A,3,3,1,3,3,1,3,5,3,3,1,3,5,3,5,3,3,3,3,5,,A,3,5,5,3,3,3,3,3,5,5,3,3,5,3,5,5,3,1,3,5,,,,,,
A,1,3,1,5,3,3,1,3,3,1,1,3,1,1,3,1,3,1,1,1,,A,1,3,1,3,1,1,3,1,5,3,1,1,3,5,3,3,3,5,1,5,,A,1,5,1,3,3,1,5,5,3,3,1,3,3,5,3,5,1,3,5,3,,,,,,
A,1,3,1,3,3,3,1,3,3,3,3,1,1,3,3,1,1,3,1,1,,A,1,3,3,3,3,5,3,3,1,3,1,3,3,3,3,5,3,1,3,3,,A,1,3,3,3,3,3,1,1,3,3,3,3,3,1,3,3,1,5,5,3,,,,,,
B,1,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1,,B,3,1,1,3,3,1,1,1,1,1,1,1,1,1,1,3,1,1,3,3,,B,3,1,3,5,3,3,3,3,3,3,1,3,3,3,5,3,3,3,4,5,,,,,,
B,3,1,1,3,1,3,1,5,3,1,3,3,3,1,3,3,1,5,3,3,,B,1,3,3,3,3,1,3,3,3,3,1,3,3,3,3,3,3,5,5,3,,B,1,3,3,3,3,1,3,5,3,3,3,5,3,3,3,3,3,3,3,3,,,,,,
B,3,3,3,3,1,1,3,1,1,3,1,1,3,3,3,3,1,3,3,1,,B,3,3,3,5,3,1,3,5,3,3,3,3,3,3,5,1,1,3,3,3,,B,3,3,3,5,1,1,3,3,3,3,3,3,3,3,5,3,3,3,3,1,,,,,,
B,3,3,3,3,5,3,1,3,1,1,3,3,3,1,3,1,1,1,3,1,,B,3,3,3,3,5,3,3,3,3,1,1,3,5,5,5,5,5,3,1,0,,B,3,3,3,3,5,3,1,1,3,3,1,1,1,3,5,3,3,3,3,3,,,,,,
C,1,0,1,3,1,3,0,0,0,1,0,1,1,1,0,0,0,0,0,1,,C,1,3,3,3,1,3,1,1,1,1,1,1,1,1,1,1,3,3,3,1,,C,3,3,1,3,1,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,,,,,,
C,3,1,3,3,1,3,1,3,1,3,3,1,1,3,3,1,5,3,3,3,,C,3,5,3,3,3,3,3,3,3,5,3,3,3,1,3,3,5,3,3,3,,C,3,5,5,3,3,3,3,3,3,1,3,3,5,5,3,3,3,3,5,5,,,,,,
